product_id,product_name,category,brand,price,rating,availability,image_url
1,Samsung Nord Edge 576,Smartphones,Samsung,496.52,2.9,low_stock,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?auto=format&fit=crop&w=900&q=80
2,LG AirCool Plus 334,Home Appliances,LG,769.3,4.7,low_stock,https://images.unsplash.com/photo-1586201375761-83865001e31c?auto=format&fit=crop&w=900&q=80
3,Skybags Campus Lite 305,Backpacks,Skybags,99.28,4.4,in_stock,https://images.unsplash.com/photo-1622560480605-d83c853bc5c3?auto=format&fit=crop&w=900&q=80
4,Nike Street Flex 389,Sneakers,Nike,101.32,3.2,in_stock,https://images.unsplash.com/photo-1542291026-7eec264c27ff?auto=format&fit=crop&w=900&q=80
5,Adidas Cloud Step 637,Sneakers,Adidas,232.26,3.0,in_stock,https://images.unsplash.com/photo-1460353581641-37baddab0fa2?auto=format&fit=crop&w=900&q=80
6,Panasonic AirCool Plus 317,Home Appliances,Panasonic,786.69,3.2,in_stock,https://images.unsplash.com/photo-1556911220-bda9f7f7597e?auto=format&fit=crop&w=900&q=80
7,Apple Pixel Core 921,Smartphones,Apple,267.62,5.0,in_stock,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?auto=format&fit=crop&w=900&q=80
8,Wildcraft Commuter Smart 531,Backpacks,Wildcraft,108.46,3.8,in_stock,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?auto=format&fit=crop&w=900&q=80
9,Lenovo Inspiron 876,Laptops,Lenovo,2094.68,4.5,low_stock,https://images.unsplash.com/photo-1517336714739-489689fd1ca8?auto=format&fit=crop&w=900&q=80
10,Xiaomi Nord Edge 714,Smartphones,Xiaomi,381.68,4.2,low_stock,https://images.unsplash.com/photo-1598327105666-5b89351aff97?auto=format&fit=crop&w=900&q=80
11,Titan Urban Smart 399,Watches,Titan,173.29,4.1,in_stock,https://images.unsplash.com/photo-1522312346375-d1a52e2b99b3?auto=format&fit=crop&w=900&q=80
12,Mamaearth Matte Lip Kit 305,Beauty,Mamaearth,105.04,3.1,low_stock,https://images.unsplash.com/photo-1596462502278-27bfdc403348?auto=format&fit=crop&w=900&q=80
13,Nike Travel Pro 768,Backpacks,Nike,79.4,4.9,in_stock,https://images.unsplash.com/photo-1622560480605-d83c853bc5c3?auto=format&fit=crop&w=900&q=80
14,Whirlpool AirCool Plus 397,Home Appliances,Whirlpool,628.13,3.5,in_stock,https://images.unsplash.com/photo-1556911220-bda9f7f7597e?auto=format&fit=crop&w=900&q=80
